[Mon Feb 08 01:13:15.115449 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39358] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:15.660733 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39358] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:15.660792 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39358] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:15.660935 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39358] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:29.029478 2021] [php7:notice] [pid 27670] [client 192.168.1.162:39360] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:29.029551 2021] [php7:notice] [pid 27670] [client 192.168.1.162:39360] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:29.029741 2021] [php7:notice] [pid 27670] [client 192.168.1.162:39360] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:29.748732 2021] [php7:notice] [pid 27670] [client 192.168.1.162:39360] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:29.748793 2021] [php7:notice] [pid 27670] [client 192.168.1.162:39360] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:29.748978 2021] [php7:notice] [pid 27670] [client 192.168.1.162:39360] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:42.706812 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39362] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:42.706884 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39362] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:42.707066 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39362] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:56.094856 2021] [php7:notice] [pid 27673] [client 192.168.1.162:39366] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:13:56.094935 2021] [php7:notice] [pid 27673] [client 192.168.1.162:39366] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
